N,M,alpha,beta,e,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
442,1024,0.300000,5.000000,0.010000,2.324919,2.271697,2.242057,2.272156,2.312823,2.227334,2.321719,2.189292,2.163082,2.268423,2.146104,2.208900,2.184479,2.163690,2.238742,2.246400,2.333676,2.201534,2.227587,2.181167,2.181857,2.261785,2.267958,2.124283,2.384885,2.216157,2.187776,2.160047,2.228058,2.101556
442,2048,0.300000,5.000000,0.010000,2.733409,2.677844,2.648380,2.526774,2.652501,2.659816,2.504597,2.690228,2.661655,2.612770,2.599534,2.636685,2.587239,2.641370,2.627697,2.507044,2.579211,2.646103,2.636015,2.610759,2.567555,2.672404,2.749514,2.750279,2.782983,2.673704,2.567777,2.773018,2.729614,2.559580
442,3072,0.300000,5.000000,0.010000,3.056596,2.978310,3.098164,3.040440,2.913631,3.099137,2.913762,3.078284,3.010228,3.053110,3.037098,3.000333,3.059451,2.980799,3.054190,3.090037,2.982686,3.004932,2.937549,3.031373,3.104084,3.081482,2.949044,3.112052,3.077932,2.993937,3.086591,3.060822,2.904971,3.208275
442,4096,0.300000,5.000000,0.010000,3.300363,3.385498,3.401418,3.419777,3.227767,3.468021,3.443306,3.428063,3.352288,3.478784,3.300438,3.386106,3.522508,3.428735,3.419235,3.438875,3.314145,3.393708,3.398973,3.391767,3.525560,3.297762,3.374547,3.394689,3.413513,3.437305,3.465990,3.416894,3.486847,3.451643
442,5120,0.300000,5.000000,0.010000,3.898106,3.823763,3.937686,3.867842,3.841529,3.869710,3.981151,3.937816,3.865508,4.027363,3.806076,3.841053,4.016911,3.822823,3.920419,3.990832,3.934526,3.986729,3.804742,3.932505,3.923131,3.853014,3.928292,3.869447,3.923177,3.881962,3.743532,3.994390,3.909208,3.796454
1291,1024,0.300000,5.000000,0.010000,7.800811,7.586511,7.606237,7.211508,7.411121,7.573039,8.302725,7.715881,7.633373,7.675578,7.049807,7.036478,8.214016,7.495113,7.631819,7.598769,7.376270,7.187425,7.951072,7.536991,7.503750,7.599240,7.379564,7.146896,7.182174,7.418209,7.654698,7.741661,7.439699,7.933227
1291,2048,0.300000,5.000000,0.010000,8.581512,9.420159,8.372402,9.390137,8.822001,8.719853,9.000170,8.697261,8.691887,9.024716,9.167529,8.955963,9.535032,9.031617,8.880342,8.993158,9.091995,9.436501,8.922558,9.262368,8.952938,8.604004,9.635084,8.543806,9.190559,8.233314,8.805542,8.837430,8.755277,9.218213
1291,3072,0.300000,5.000000,0.010000,10.422077,10.296414,9.918225,10.571326,10.469732,10.200679,9.318358,10.204574,10.758798,9.966874,9.835130,10.441478,10.428438,10.429922,10.497092,10.117645,9.797848,9.879980,10.685370,10.385503,10.180591,10.491567,10.492961,10.707265,10.017088,10.780882,9.868335,9.744243,10.725581,10.490953
1291,4096,0.300000,5.000000,0.010000,11.383767,11.267850,11.217118,10.954671,11.656824,11.525967,11.704365,11.674139,11.612380,11.886556,11.820800,11.919907,11.852740,11.358280,11.354493,11.629631,11.448667,11.910361,10.874055,11.134797,11.169581,11.566584,11.401221,11.522397,11.421138,12.214714,11.508987,11.524153,11.130443,11.485375
1291,5120,0.300000,5.000000,0.010000,13.393677,13.329135,13.249143,12.946918,13.845699,13.221102,13.190095,13.395948,13.401613,13.401792,13.273780,12.642235,13.340466,14.085566,12.847301,13.330687,13.103403,13.343633,13.570179,13.525371,12.806586,13.017841,13.754507,12.873000,13.762760,12.849183,13.074078,13.533183,12.886743,13.664582
