N,M,alpha,beta,e,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
442,1024,0.300000,5.000000,0.010000,51755,52330,51459,51633,51849,51415,51995,52044,52064,51517,51559,52156,51841,52532,52154,51664,51480,51594,51545,52377,51802,51673,51850,51369,51438,52106,51981,51544,52264,51726
442,2048,0.300000,5.000000,0.010000,52019,51927,51128,52030,52465,52195,51440,51437,51952,51259,51551,51713,52351,52341,52215,51815,51590,51624,51359,51600,52143,51849,51438,51446,51751,51315,51509,51705,51485,51549
442,3072,0.300000,5.000000,0.010000,51691,51643,51400,51518,52704,51462,51612,51926,51150,51458,51320,51729,51775,52020,52058,51340,51619,51314,51663,52016,51280,51352,51799,51594,51742,51340,51346,51365,51681,51718
442,4096,0.300000,5.000000,0.010000,51674,51642,52288,51088,51789,51458,51665,51685,51719,51350,51584,51535,51466,51402,52076,52025,51433,51385,51939,51157,51255,51300,51362,51332,51878,52289,51758,51416,51953,51654
442,5120,0.300000,5.000000,0.010000,51793,51291,51830,51416,52217,51273,51240,51547,51664,51255,51680,51733,51565,51256,51166,51697,51590,51397,51608,51502,51235,51374,51758,51149,51412,51634,52017,51339,51381,51786
1291,1024,0.300000,5.000000,0.010000,52246,52151,52179,53264,53114,52861,53102,52829,52435,52114,53400,53057,51967,52802,52542,53128,52471,52417,52724,53323,53249,53620,53347,53535,53266,52620,52978,51882,52829,53256
1291,2048,0.300000,5.000000,0.010000,52824,52715,53387,52810,52550,53445,52716,52453,52506,52385,53396,53982,52959,51876,51945,51798,53040,53013,52239,53070,52266,53510,52928,52052,52123,52649,52045,52344,52856,52940
1291,3072,0.300000,5.000000,0.010000,52048,52281,53199,52016,52111,53258,52527,52846,51762,53188,52139,53067,51970,52488,52951,53254,53226,52474,53025,52738,53459,53107,52165,53047,52917,52694,53232,52903,52575,51974
1291,4096,0.300000,5.000000,0.010000,52633,52420,53917,52199,52919,53276,52847,52744,51856,52382,52484,52601,52647,52129,52911,52936,51840,53360,52880,52890,52449,52879,52346,52040,51812,51666,51991,53310,52564,52302
1291,5120,0.300000,5.000000,0.010000,52932,51655,52923,52198,51904,52824,52523,53054,51806,51703,51897,52902,52034,53137,52366,51937,52766,52911,51861,52017,53559,53003,53282,52488,52967,51955,51872,51852,52433,52570
1655,1024,0.300000,5.000000,0.010000,64347,64454,64550,64337,64470,64512,63952,64116,64575,64354,64779,63906,64037,63741,64354,64490,65606,64643,63918,64326,63934,64497,64043,64061,64315,64793,64247,64556,64545,64019
1655,2048,0.300000,5.000000,0.010000,63683,63523,64031,64338,64463,64122,63693,64258,63887,63980,64292,64686,64185,64447,63903,63914,63850,64492,63650,64146,63999,63805,64720,64190,64029,64590,64541,63783,63593,63966
